#submitted_item	validated_id	current_symbol
CG10007	FBgn0260744	Tango9
CG8309	FBgn0033902	eIF3m
CG8322	FBgn0020236	ATPCL
CG8332	FBgn0034138	RpS15
CG8339	FBgn0020251	sfl
CG8339	FBgn0052396	Î²Tub65B
CG8360	FBgn0032001	CG8360
CG8367	FBgn0000289	cg
CG8369	FBgn0040532	CG8369
CG8372	FBgn0032000	CG8372
CG8384	FBgn0001139	gro
CG8385	FBgn0010348	Arf79F
CG8396	FBgn0015299	Ssb-c31a
CG8397	FBgn0034066	EMC7
CG8403	FBgn0034070	SP2353
CG8408	FBgn0030850	stas
CG8409	FBgn0003607	Su(var)205
CG8415	FBgn0033912	RpS23
CG8416	FBgn0014020	Rho1
CG8418	FBgn0265605	Ric
CG8426	FBgn0033029	Not3
CG8434	FBgn0034083	lbk
CG8440	FBgn0015754	Lis-1
CG8444	FBgn0037671	ATP6AP2
CG8472	FBgn0000253	Cam
CG8479	FBgn0261276	Opa1
CG8481	FBgn0037747	Naa80
CG8485	FBgn0033915	CG8485
CG8493	FBgn0033716	Den1
CG8495	FBgn0261599	RpS29
CG8500	FBgn0037754	CG8500
CG8524	FBgn0024321	NK7.1
CG8529	FBgn0033739	Dyb
CG8532	FBgn0028582	lqf
CG8542	FBgn0001220	Hsc70-5
CG8544	FBgn0003345	sd
CG8566	FBgn0267002	unc-104
CG8567	FBgn0013799	Deaf1
CG8580	FBgn0082598	akirin
CG8582	FBgn0035772	Sh3Î²
CG8585	FBgn0263397	Ih
CG8597	FBgn0011640	lark
CG8602	FBgn0035763	mrva
CG8604	FBgn0027356	Amph
CG8615	FBgn0035753	RpL18
CG8636	FBgn0029629	eIF3g1
CG8639	FBgn0033313	Cirl
CG8649	FBgn0024238	Fim
CG8651	FBgn0003862	trx
CG8663	FBgn0032946	nrv3
CG8666	FBgn0032943	Tsp39D
CG8668	FBgn0031988	CG8668
CG8669	FBgn0000370	crc
CG8671	FBgn0032938	CG8671
CG8677	FBgn0026577	CG8677
CG8680	FBgn0031684	ND-13A
CG8705	FBgn0013726	pnut
CG8709	FBgn0263593	Lpin
CG8726	FBgn0033244	CG8726
CG8739	FBgn0086784	stmA
CG8749	FBgn0016978	snRNP-U1-70K
CG8759	FBgn0086904	NacÎ±
CG8764	FBgn0011227	ox
CG8787	FBgn0261823	Asx
CG8801	FBgn0028473	Non1
CG8806	FBgn0033413	prel
CG8815	FBgn0022764	Sin3A
CG8817	FBgn0041111	lilli
CG8844	FBgn0021967	ND-PDSW
CG8857	FBgn0033699	RpS11
CG8860	FBgn0033691	CG8860
CG8861	FBgn0037676	CG8861
CG8863	FBgn0038145	Droj2
CG8865	FBgn0026376	Rgl
CG8878	FBgn0027504	CG8878
CG8882	FBgn0015834	eIF3i
CG8884	FBgn0013334	Sap47
CG8893	FBgn0001092	Gapdh2
CG8900	FBgn0010411	RpS18
CG8905	FBgn0010213	Sod2
CG8909	FBgn0030706	Lrp4
CG8912	FBgn0014870	Psi
CG8920	FBgn0027529	tapas
CG8922	FBgn0002590	RpS5a
CG8929	FBgn0034504	CG8929
CG8933	FBgn0000611	exd
CG8948	FBgn0030685	Graf
CG8949	FBgn0030812	wcy
CG8954	FBgn0019890	Smg5
CG8963	FBgn0034181	CG8963
CG8979	FBgn0033669	PI31
CG8989	FBgn0004828	His3.3B
CG8993	FBgn0035334	CG8993
CG8998	FBgn0044020	Roc2
CG9003	FBgn0033639	CG9003
CG9005	FBgn0033638	CG9005
CG9007	FBgn0036398	upSET
CG9012	FBgn0000319	Chc
CG9032	FBgn0014391	sun
CG9034	FBgn0040931	CG9034
CG9038	FBgn0026076	UBL3
CG9042	FBgn0001128	Gpdh1
CG9056	FBgn0260938	tay
CG9065	FBgn0030610	Cox17
CG9066	FBgn0030703	MSBP
CG9075	FBgn0001942	eIF4A
CG9086	FBgn0030809	Ubr1
CG9088	FBgn0031759	Kdm5
CG9091	FBgn0030616	RpL37a
CG9108	FBgn0024941	RSG7
CG9113	FBgn0030089	AP-1Î³
CG9124	FBgn0022023	eIF3h
CG9132	FBgn0030791	CG9132
CG9140	FBgn0031771	ND-51
CG9160	FBgn0011361	ND-ACP
CG9170	FBgn0030716	CG9170
CG9171	FBgn0031738	CG9171
CG9172	FBgn0030718	ND-20
CG9195	FBgn0040285	Scamp
CG9205	FBgn0035181	CG9205
CG9212	FBgn0030724	Nipsnap
CG9214	FBgn0028397	Tob
CG9218	FBgn0003435	sm
CG9239	FBgn0023407	B4
CG9244	FBgn0010100	mAcon1
CG9245	FBgn0030670	Pis
CG9261	FBgn0015777	nrv2
CG9262	FBgn0005564	Shal
CG9277	FBgn0284243	Î²Tub56D
CG9281	FBgn0030672	CG9281
CG9282	FBgn0032518	RpL24
CG9291	FBgn0266711	EloC
CG9306	FBgn0032511	ND-B22
CG9318	FBgn0032880	TM9SF2
CG9324	FBgn0032884	Pomp
CG9327	FBgn0261394	ProsÎ±3
CG9328	FBgn0032886	CG9328
CG9339	FBgn0032901	sky
CG9350	FBgn0034576	ND-B14.7
CG9351	FBgn0024555	flfl
CG9354	FBgn0037686	RpL34b
CG9368	FBgn0036890	CG9368
CG9373	FBgn0267790	rump
CG9375	FBgn0003205	Ras85D
CG9381	FBgn0037705	mura
CG9390	FBgn0012034	AcCoAS
CG9412	FBgn0015778	rin
CG9415	FBgn0021872	Xbp1
CG9423	FBgn0027338	Kap-Î±3
CG9425	FBgn0036451	Helz
CG9429	FBgn0005585	Calr
CG9450	FBgn0003891	tud
CG9461	FBgn0037760	FBXO11
CG9470	FBgn0002868	MtnA
CG9491	FBgn0265778	PDZ-GEF
CG9533	FBgn0003301	rut
CG9553	FBgn0000308	chic
CG9575	FBgn0031090	Rab35
CG9603	FBgn0040529	COX7A
CG9637	FBgn0038165	Task6
CG9646	FBgn0034184	CG9646
CG9659	FBgn0001404	egh
CG9660	FBgn0015600	toc
CG9674	FBgn0036663	CG9674
CG9677	FBgn0025582	eIF3e
CG9695	FBgn0000414	Dab
CG9696	FBgn0020306	dom
CG9699	FBgn0259923	Septin4
CG9715	FBgn0036668	Zcchc7
CG9738	FBgn0024326	Mkk4
CG9739	FBgn0016797	fz2
CG9745	FBgn0000412	D1
CG9748	FBgn0263231	bel
CG9755	FBgn0003165	pum
CG9762	FBgn0011455	ND-SGDH
CG9764	FBgn0004049	yrt
CG9765	FBgn0026620	tacc
CG9769	FBgn0037270	eIF3f1
CG9775	FBgn0037261	CG9775
CG9779	FBgn0037231	Vps24
CG9805	FBgn0037249	eIF3a
CG9813	FBgn0038143	CG9813
CG9819	FBgn0267912	CanA-14F
CG9821	FBgn0286516	aqz
CG9828	FBgn0032474	DnaJ-H
CG9834	FBgn0034433	EndoB
CG9836	FBgn0037637	IscU
CG9842	FBgn0011826	Pp2B-14D
CG9854	FBgn0015949	hrg
CG9887	FBgn0031424	VGlut
CG9894	FBgn0031453	Bacc
CG9907	FBgn0285944	para
CG9916	FBgn0004432	Cyp1
CG9917	FBgn0030740	CG9917
CG9932	FBgn0262160	CG9932
CG9936	FBgn0003415	skd
CG9940	FBgn0030512	Nadsyn
CG9946	FBgn0261609	eIF2Î±
CG9949	FBgn0003410	sina
CG9954	FBgn0034534	maf-S
CG9983	FBgn0001215	Hrb98DE
CG9998	FBgn0005411	U2af50
CR18854	FBgn0285991	hpRNA:CR18854
CR30055	FBgn0050055	lncRNA:CR30055
CR31400	FBgn0001234	lncRNA:HsrÏ
CR31451	FBgn0051451	lncRNA:CR31451
CR32172	FBgn0026197	lncRNA:noe
CR32665	FBgn0019660	lncRNA:roX2
CR32777	FBgn0019661	lncRNA:roX1
CR33925	FBgn0065099	snRNA:7SK
CR34094	FBgn0013686	mt:lrRNA
CR34335	FBgn0267910	lncRNA:CR34335
CR40469	FBgn0058469	lncRNA:CR40469
CR42862	FBgn0262109	lncRNA:CR42862
CR43459	FBgn0263413	lncRNA:CR43459
CR43651	FBgn0263660	lncRNA:CR43651
CR44922	FBgn0266227	lncRNA:CR44922
CR45054	FBgn0266414	lncRNA:CR45054
CR46006	FBgn0267668	lncRNA:CR46006
